tools (comparison order: row x column),M100-C000_CRA_C,M100-C100_CRA_C,M100-C010-R_CRA_C,M100-C010_CRA_C
M100-C000_CRA_C P Value,1.0,1.5705228423079642E-4,0.06964240479832817,0.3643461266335529
M100-C000_CRA_C Cohen D,0.0,Large,Large,Small
M100-C000_CRA_C Cliff's delta,0.0,1.0,-0.48,0.24
M100-C100_CRA_C P Value,1.5705228423079642E-4,1.0,1.5705228423079642E-4,1.5705228423079642E-4
M100-C100_CRA_C Cohen D,Large,NaN,Large,Large
M100-C100_CRA_C Cliff's delta,-1.0,0.0,-1.0,-1.0
M100-C010-R_CRA_C P Value,0.06964240479832817,1.5705228423079642E-4,1.0,0.023342202012890834
M100-C010-R_CRA_C Cohen D,Large,Large,0.0,Large
M100-C010-R_CRA_C Cliff's delta,0.48,1.0,0.0,0.6
M100-C010_CRA_C P Value,0.3643461266335529,1.5705228423079642E-4,0.023342202012890834,1.0
M100-C010_CRA_C Cohen D,Small,Large,Large,0.0
M100-C010_CRA_C Cliff's delta,-0.24,1.0,-0.6,0.0
