tools (comparison order: row x column),M100-C000_CRA_D,M100-C100_CRA_D,M100-C010-R_CRA_D,M100-C010_CRA_D
M100-C000_CRA_D P Value,1.0,1.5705228423079642E-4,1.0,0.5967012167293564
M100-C000_CRA_D Cohen D,0.0,Large,0.1777996972157994,0.03487511924401455
M100-C000_CRA_D Cliff's delta,0.0,1.0,0.0,0.14
M100-C100_CRA_D P Value,1.5705228423079642E-4,1.0,1.5705228423079642E-4,1.5705228423079642E-4
M100-C100_CRA_D Cohen D,Large,NaN,Large,Large
M100-C100_CRA_D Cliff's delta,-1.0,0.0,-1.0,-1.0
M100-C010-R_CRA_D P Value,1.0,1.5705228423079642E-4,1.0,0.7054569861112734
M100-C010-R_CRA_D Cohen D,0.1777996972157994,Large,0.0,Small
M100-C010-R_CRA_D Cliff's delta,0.0,1.0,0.0,0.1
M100-C010_CRA_D P Value,0.5967012167293564,1.5705228423079642E-4,0.7054569861112734,1.0
M100-C010_CRA_D Cohen D,0.03487511924401455,Large,Small,0.0
M100-C010_CRA_D Cliff's delta,-0.14,1.0,-0.1,0.0
