tools (comparison order: row x column),SC_CRA_A,M100-C100_CRA_A,M100-C010-R_CRA_A,M100-C010_CRA_A
SC_CRA_A P Value,1.0,0.003160460818976474,0.9750823250376448,0.9626310820312192
SC_CRA_A Cohen D,0.0,Large,0.18583688137048093,Small
SC_CRA_A Cliff's delta,0.0,0.63,-0.006666666666666667,-0.01
M100-C100_CRA_A P Value,0.003160460818976474,1.0,0.017257456083119793,0.014019277113960005
M100-C100_CRA_A Cohen D,Large,0.0,Large,Large
M100-C100_CRA_A Cliff's delta,-0.63,0.0,-0.63,-0.65
M100-C010-R_CRA_A P Value,0.9750823250376448,0.017257456083119793,1.0,0.9698499769931556
M100-C010-R_CRA_A Cohen D,0.18583688137048093,Large,0.0,Small
M100-C010-R_CRA_A Cliff's delta,0.006666666666666667,0.63,0.0,-0.01
M100-C010_CRA_A P Value,0.9626310820312192,0.014019277113960005,0.9698499769931556,1.0
M100-C010_CRA_A Cohen D,Small,Large,Small,0.0
M100-C010_CRA_A Cliff's delta,0.01,0.65,0.01,0.0
